epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,11303.3,0.57975,0.44103,0.85929,0.90189,0.81731,0.90183,0.65301,0.79403,0.58381,0.93456,0.000133104,0.000133104,0.000133104
56,11396.6,0.57918,0.43427,0.85647,0.92238,0.83053,0.91327,0.65687,0.80742,0.57709,0.93765,0.000130273,0.000130273,0.000130273
57,11486.9,0.57642,0.43802,0.85935,0.92297,0.81881,0.91681,0.66074,0.80267,0.58343,0.93812,0.000127442,0.000127442,0.000127442
58,11583.9,0.5743,0.42859,0.8602,0.9206,0.82545,0.91066,0.64754,0.82578,0.58747,0.94737,0.00012461,0.00012461,0.00012461
59,11681.3,0.56575,0.43038,0.85554,0.90045,0.83898,0.91515,0.67179,0.79716,0.5715,0.9354,0.000121779,0.000121779,0.000121779
60,11777.1,0.56523,0.42724,0.85204,0.90032,0.83018,0.90922,0.65808,0.8193,0.58962,0.94134,0.000118947,0.000118947,0.000118947
61,11871.6,0.55846,0.42303,0.85177,0.9232,0.83868,0.92048,0.67628,0.82897,0.58895,0.94057,0.000116116,0.000116116,0.000116116
62,11966.7,0.5589,0.41605,0.85301,0.9458,0.83388,0.91927,0.67356,0.82837,0.57937,0.94172,0.000113285,0.000113285,0.000113285
63,12062.3,0.57161,0.41826,0.85519,0.9293,0.83949,0.92143,0.65573,0.82661,0.57933,0.94872,0.000110453,0.000110453,0.000110453
64,12157,0.56764,0.41477,0.85198,0.93564,0.84591,0.91902,0.6667,0.79885,0.56616,0.93981,0.000107622,0.000107622,0.000107622
65,12251.6,0.55755,0.40886,0.85061,0.93502,0.84927,0.92411,0.68283,0.79751,0.56816,0.93642,0.00010479,0.00010479,0.00010479
66,12345.9,0.54818,0.40051,0.84795,0.94832,0.83139,0.92225,0.67286,0.76206,0.53398,0.91841,0.000101959,0.000101959,0.000101959
67,12440,0.53635,0.40069,0.84439,0.95121,0.81994,0.9207,0.67636,0.77627,0.55447,0.92918,9.91276e-05,9.91276e-05,9.91276e-05
68,12534.6,0.52507,0.39241,0.84719,0.89413,0.8474,0.91675,0.65879,0.80391,0.55172,0.94984,9.62962e-05,9.62962e-05,9.62962e-05
69,12628.4,0.52701,0.39658,0.8429,0.94854,0.84381,0.92692,0.67447,0.78845,0.52676,0.93891,9.34648e-05,9.34648e-05,9.34648e-05
70,12722.5,0.52102,0.38611,0.83891,0.93192,0.853,0.92533,0.66969,0.80542,0.5509,0.95071,9.06334e-05,9.06334e-05,9.06334e-05
71,12815.5,0.51063,0.37872,0.83394,0.95567,0.85665,0.92195,0.67753,0.7913,0.53058,0.94479,8.7802e-05,8.7802e-05,8.7802e-05
72,12912,0.50778,0.3793,0.83475,0.94557,0.83474,0.92141,0.66286,0.78365,0.5264,0.94036,8.49706e-05,8.49706e-05,8.49706e-05
73,13006.4,0.5005,0.37173,0.83409,0.94428,0.86201,0.92699,0.68353,0.79112,0.53437,0.95476,8.21392e-05,8.21392e-05,8.21392e-05
74,13102,0.49788,0.37082,0.83504,0.94711,0.8513,0.92653,0.696,0.74557,0.51162,0.9258,7.93078e-05,7.93078e-05,7.93078e-05
75,13196,0.48712,0.36787,0.82975,0.94338,0.85029,0.92593,0.69371,0.73575,0.52126,0.91605,7.64764e-05,7.64764e-05,7.64764e-05
76,13291.2,0.48048,0.3632,0.83237,0.94586,0.85481,0.92833,0.6863,0.75548,0.51325,0.92947,7.3645e-05,7.3645e-05,7.3645e-05
77,13387.6,0.46866,0.35527,0.82707,0.95242,0.86475,0.92624,0.69528,0.74535,0.52288,0.92107,7.08136e-05,7.08136e-05,7.08136e-05
78,13482.1,0.46578,0.35164,0.82641,0.95496,0.86077,0.92963,0.69431,0.74232,0.50292,0.92733,6.79822e-05,6.79822e-05,6.79822e-05
79,13576.5,0.46357,0.35166,0.82192,0.95757,0.86697,0.93024,0.6931,0.74467,0.50866,0.92524,6.51508e-05,6.51508e-05,6.51508e-05
80,13672,0.46676,0.34758,0.8283,0.95514,0.86291,0.93154,0.68702,0.74564,0.50153,0.92803,6.23194e-05,6.23194e-05,6.23194e-05
